Name,A,B,C,D,E,magimin summary,Magimin Balance,Total Magimin,(Base) Price,Magimin Ratio,Is Known Ingredient,Amount Owned,Taste,Touch,Smell,Sight,Sound,Type,Rarity,Location,Usefull for at least 1 Perfect Brew,Usefull for perfect brew; Health Potion,Usefull for perfect brew; Mana Potion,Usefull for perfect brew; Stamina Potion,Usefull for perfect brew; Speed Potion,Usefull for perfect brew; Tolerance Potion,Usefull for perfect brew; Fire Tonic,Usefull for perfect brew; Ice Tonic,Usefull for perfect brew; Thunder Tonic,Usefull for perfect brew; Shadow Tonic,Usefull for perfect brew; Radiation Tonic,Usefull for perfect brew; Sight Enhancer,Usefull for perfect brew; Alertness Enhancer,Usefull for perfect brew; Insight Enhancer,Usefull for perfect brew; Dowsing Enhancer,Usefull for perfect brew; Seeking Enhancer,Usefull for perfect brew; Poison Cure,Usefull for perfect brew; Drowsiness Cure,Usefull for perfect brew; Petrification Cure,Usefull for perfect brew; Silence Cure,Usefull for perfect brew; Curse Cure
Abominable Tarantula,0,0,0,0,66,0:0:0:0:66,0:0:0:0:1,66,105,0.629,FALSE,0,0,0,0,-5,5,Bug,Uncommon,Arctic,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Abyssalite,30,20,0,0,10,30:20:0:0:10,3:2:0:0:1,60,79,0.759,FALSE,0,0,0,0,0,0,Mineral,Uncommon,Ocean Coasts,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Acid Pitfall Plant,16,0,40,0,40,16:0:40:0:40,2:0:5:0:5,96,145,0.662,FALSE,0,0,0,0,0,0,Plant,Uncommon,Sulfuric Falls,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Acid Rutabaga,0,48,0,0,0,0:48:0:0:0,0:1:0:0:0,48,54,0.889,FALSE,0,-5,0,0,0,5,Plant,Common,Sulfuric Falls,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Amethyst Ore,66,66,0,0,33,66:66:0:0:33,2:2:0:0:1,165,206,0.801,FALSE,0,0,0,0,0,-5,Ores,Uncommon,Dragon Oasis,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Amphitere's Shadow,44,0,44,0,0,44:0:44:0:0,1:0:1:0:0,88,114,0.772,FALSE,0,0,0,0,0,0,Essences,Common,Dragon Oasis,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Antlered Jelly,30,0,0,0,0,30:0:0:0:0,1:0:0:0:0,30,28,1.071,FALSE,0,0,-5,0,5,0,Slime,Uncommon,Storm Plains,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Arcane Quartz,84,0,0,84,42,84:0:0:84:42,2:0:0:2:1,210,264,0.795,FALSE,0,0,0,0,0,-5,Gem,Uncommon,Magical Wasteland,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Arcane Truffle,0,42,42,42,42,0:42:42:42:42,0:1:1:1:1,168,236,0.712,FALSE,0,0,0,0,0,0,Fungus,Rare,Magical Wasteland,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Armored Pudding,44,0,0,44,0,44:0:0:44:0,1:0:0:1:0,88,115,0.765,FALSE,0,0,0,0,0,0,Slime,Common,Crater,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Avalanche Cricket,24,24,32,32,0,24:24:32:32:0,3:3:4:4:0,112,140,0.800,FALSE,0,5,-5,0,0,0,Bug,Common,Ice Craggs,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Banshee's Bloody Tongue,0,40,0,0,0,0:40:0:0:0,0:1:0:0:0,40,32,1.250,FALSE,0,0,0,-5,0,0,Flesh,Common,Shadow Steppe,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Barghast Canine,0,30,0,0,10,0:30:0:0:10,0:3:0:0:1,40,55,0.727,FALSE,0,0,0,0,0,0,Bone,Rare,Shadow Steppe,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Barracuda Plant,22,55,0,0,55,22:55:0:0:55,2:5:0:0:5,132,172,0.767,FALSE,0,0,0,0,0,0,Plant,Common,Crater,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Basilisk's Cornea,0,22,0,0,0,0:22:0:0:0,0:1:0:0:0,22,54,0.407,FALSE,0,5,5,0,0,0,Flesh,Uncommon,Dragon Oasis,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Bedazzled Custard,0,0,44,0,22,0:0:44:0:22,0:0:2:0:1,66,95,0.695,FALSE,0,0,0,0,5,0,Slime,Common,Dragon Oasis,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Bioplasm,0,48,32,16,0,0:48:32:16:0,0:3:2:1:0,96,125,0.768,FALSE,0,0,0,0,-5,5,Essences,Rare,Sulfuric Falls,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Blackfrost Lobster,0,0,0,0,44,0:0:0:0:44,0:0:0:0:1,44,104,0.423,FALSE,0,0,0,5,0,0,Fish,Uncommon,Arctic,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Blackgold Ore,84,84,0,0,42,84:84:0:0:42,2:2:0:0:1,210,256,0.820,FALSE,0,0,0,0,0,-5,Ores,Uncommon,Magical Wasteland,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Blightroach,0,42,42,42,0,0:42:42:42:0,0:1:1:1:0,126,185,0.681,FALSE,0,0,0,0,0,0,Bug,Common,Magical Wasteland,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Body Snatcher's Sloughed Skin,0,0,0,66,22,0:0:0:66:22,0:0:0:3:1,88,132,0.667,FALSE,0,0,0,0,0,0,Flesh,Rare,Crater,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Bog Beet,0,27,0,0,0,0:27:0:0:0,0:1:0:0:0,27,27,1.000,FALSE,0,-5,0,0,0,5,Plant,Rare,Mushroom Mire,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Bogeyberry,30,0,0,0,0,30:0:0:0:0,1:0:0:0:0,30,30,1.000,FALSE,0,0,0,0,0,0,Fruit,Common,Storm Plains,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Bramble Rose,16,0,0,0,0,16:0:0:0:0,1:0:0:0:0,16,45,0.356,FALSE,0,0,5,0,0,5,Flower,Uncommon,Sulfuric Falls,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Bubble Ooze,9,9,12,12,0,9:9:12:12:0,3:3:4:4:0,42,60,0.700,FALSE,0,0,0,0,0,0,Slime,Epic,Mushroom Mire,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Buoyant Blowfish,96,0,48,0,0,96:0:48:0:0,2:0:1:0:0,144,138,1.043,FALSE,0,0,0,0,-5,-5,Fish,Uncommon,Ice Craggs,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Celestial Ore,0,0,16,0,0,0:0:16:0:0,0:0:1:0:0,16,45,0.356,FALSE,0,0,0,5,5,0,Ores,Uncommon,Ice Craggs,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Charredonnay,48,0,48,24,24,48:0:48:24:24,2:0:2:1:1,144,260,0.554,FALSE,0,-5,0,0,0,0,Fruit,Rare,Sulfuric Falls,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Chimera Waste,0,0,64,32,0,0:0:64:32:0,0:0:2:1:0,96,118,0.814,FALSE,0,0,0,-5,0,0,Essences,Common,Crystalline Forest,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Cobweb Crayfish,10,0,20,0,0,10:0:20:0:0,1:0:2:0:0,30,48,0.625,FALSE,0,0,0,5,0,0,Fish,Rare,Shadow Steppe,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Copper Dollop,15,15,15,15,0,15:15:15:15:0,1:1:1:1:0,60,95,0.632,FALSE,0,0,0,0,0,0,Slime,Rare,Storm Plains,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Cosmic Cassava,0,66,0,0,0,0:66:0:0:0,0:1:0:0:0,66,82,0.805,FALSE,0,-5,0,0,0,5,Plant,Common,Crater,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Cosmic Quartz,66,33,0,66,0,66:33:0:66:0,2:1:0:2:0,165,204,0.809,FALSE,0,0,0,0,0,-5,Gem,Uncommon,Crater,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Courtier's Orchid,8,24,24,0,0,8:24:24:0:0,1:3:3:0:0,56,72,0.778,FALSE,0,0,0,5,0,0,Flower,Epic,Ice Craggs,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Crag Crab,0,0,0,0,32,0:0:0:0:32,0:0:0:0:1,32,75,0.427,FALSE,0,0,0,5,0,0,Fish,Rare,Ice Craggs,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Creeping Mildew,16,0,0,0,48,16:0:0:0:48,1:0:0:0:3,64,92,0.696,FALSE,0,0,0,0,0,0,Fungus,Uncommon,Sulfuric Falls,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Crocodile Tooth,6,0,12,0,0,6:0:12:0:0,1:0:2:0:0,18,20,0.900,FALSE,0,0,0,0,0,0,Bone,Common,Mushroom Mire,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Cubic Ooze,3,3,3,0,0,3:3:3:0:0,1:1:1:0:0,9,16,0.563,FALSE,0,0,0,0,0,0,Slime,Rare,Enchanted Forest,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Cyclops Skull,0,0,42,42,42,0:0:42:42:42,0:0:1:1:1,126,200,0.630,FALSE,0,0,0,0,0,0,Bone,Common,Magical Wasteland,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Daredevil Pepper,0,32,0,32,0,0:32:0:32:0,0:1:0:1:0,64,90,0.711,FALSE,0,0,0,0,0,0,Plant,Common,Crystalline Forest,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Daydream Pomme,0,24,8,0,0,0:24:8:0:0,0:3:1:0:0,32,75,0.427,FALSE,0,0,0,0,5,5,Fruit,Rare,Sulfuric Falls,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Dazzling Mana,42,42,42,42,42,42:42:42:42:42,1:1:1:1:1,210,345,0.609,FALSE,0,0,5,5,0,0,Pure Mana,Epic,Magical Wasteland,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Death's Embrace,33,33,33,0,33,33:33:33:0:33,1:1:1:0:1,132,196,0.673,FALSE,0,0,0,0,0,0,Plant,Epic,Arctic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Delirium Shroom,0,0,48,0,0,0:0:48:0:0,0:0:1:0:0,48,63,0.762,FALSE,0,5,0,0,0,-5,Fungus,Common,Crystalline Forest,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Desert Metal,0,12,0,0,0,0:12:0:0:0,0:1:0:0:0,12,25,0.480,FALSE,0,0,5,0,0,0,Ores,Common,Bone Wastes,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Diamond Salt,33,0,0,0,11,33:0:0:0:11,3:0:0:0:1,44,85,0.518,FALSE,0,5,0,0,5,0,Mineral,Uncommon,Arctic,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Direwolf's-Breath Diamond,0,44,44,0,0,0:44:44:0:0,0:1:1:0:0,88,118,0.746,FALSE,0,0,0,0,0,0,Gem,Common,Arctic,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Djinn Blossom,24,0,0,8,0,24:0:0:8:0,3:0:0:1:0,32,68,0.471,FALSE,0,5,0,5,0,0,Flower,Uncommon,Crystalline Forest,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Dragon Dung,0,0,88,44,0,0:0:88:44:0,0:0:2:1:0,132,173,0.763,FALSE,0,0,0,-5,0,0,Essences,Uncommon,Dragon Oasis,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Dragon Pheromones,0,0,0,0,88,0:0:0:0:88,0:0:0:0:1,88,151,0.583,FALSE,0,0,0,-5,0,0,Essences,Uncommon,Dragon Oasis,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Dragon Tear,0,33,33,11,0,0:33:33:11:0,0:3:3:1:0,77,118,0.653,FALSE,0,0,5,0,0,0,Essences,Uncommon,Dragon Oasis,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Dragonblood Tick,132,66,0,0,0,132:66:0:0:0,2:1:0:0:0,198,174,1.138,FALSE,0,0,-5,0,0,-5,Bug,Uncommon,Dragon Oasis,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Dragonbreath Blossom,33,0,0,11,0,33:0:0:11:0,3:0:0:1:0,44,76,0.579,FALSE,0,5,0,5,0,0,Flower,Uncommon,Dragon Oasis,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Dragonegg Citrus,0,22,0,0,66,0:22:0:0:66,0:1:0:0:3,88,124,0.710,FALSE,0,0,0,0,0,0,Fruit,Uncommon,Dragon Oasis,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Dragonfire Pearl,0,0,0,44,0,0:0:0:44:0,0:0:0:1:0,44,76,0.579,FALSE,0,0,0,0,5,0,Gem,Rare,Dragon Oasis,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Draugr's Tibia,0,0,55,55,22,0:0:55:55:22,0:0:5:5:2,132,184,0.717,FALSE,0,0,0,0,0,0,Bone,Uncommon,Arctic,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Dropspider's Shadow,0,0,30,20,10,0:0:30:20:10,0:0:3:2:1,60,90,0.667,FALSE,0,0,0,0,0,0,Essences,Rare,Shadow Steppe,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Dwarf Kraken,40,0,0,0,0,40:0:0:0:0,1:0:0:0:0,40,30,1.333,FALSE,0,0,-5,0,0,0,Fish,Common,Ocean Coasts,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Ectoplasm,0,70,70,28,0,0:70:70:28:0,0:5:5:2:0,168,226,0.743,FALSE,0,0,0,0,-5,5,Essences,Rare,Magical Wasteland,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Elder Being's Tusk,0,66,0,0,22,0:66:0:0:22,0:3:0:0:1,88,114,0.772,FALSE,0,0,-5,0,0,5,Bone,Uncommon,Crater,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Electrocution Eel,10,10,10,0,0,10:10:10:0:0,1:1:1:0:0,30,45,0.667,FALSE,0,0,0,0,5,0,Fish,Uncommon,Storm Plains,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ember of Mana,24,24,24,24,24,24:24:24:24:24,1:1:1:1:1,120,165,0.727,FALSE,0,0,0,0,0,0,Pure Mana,Epic,Ice Craggs,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Eye of Newt,0,16,0,0,0,0:16:0:0:0,0:1:0:0:0,16,34,0.471,FALSE,0,5,5,0,0,0,Flesh,Uncommon,Crystalline Forest,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Fairy Flower Bloom,20,0,0,0,0,20:0:0:0:0,1:0:0:0:0,20,35,0.571,FALSE,0,0,0,5,0,0,Flower,Common,Shadow Steppe,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Fairy Flower Bud,12,0,0,0,0,12:0:0:0:0,1:0:0:0:0,12,23,0.522,FALSE,0,0,0,5,0,0,Flower,Common,Bone Wastes,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
