Name,A,B,C,D,E,magimin summary,Magimin Balance,Total Magimin,(Base) Price,Magimin Ratio,Is Known Ingredient,Amount Owned,Taste,Touch,Smell,Sight,Sound,Type,Rarity,Location,Usefull for at least 1 Perfect Brew,Usefull for perfect brew; Health Potion,Usefull for perfect brew; Mana Potion,Usefull for perfect brew; Stamina Potion,Usefull for perfect brew; Speed Potion,Usefull for perfect brew; Tolerance Potion,Usefull for perfect brew; Fire Tonic,Usefull for perfect brew; Ice Tonic,Usefull for perfect brew; Thunder Tonic,Usefull for perfect brew; Shadow Tonic,Usefull for perfect brew; Radiation Tonic,Usefull for perfect brew; Sight Enhancer,Usefull for perfect brew; Alertness Enhancer,Usefull for perfect brew; Insight Enhancer,Usefull for perfect brew; Dowsing Enhancer,Usefull for perfect brew; Seeking Enhancer,Usefull for perfect brew; Poison Cure,Usefull for perfect brew; Drowsiness Cure,Usefull for perfect brew; Petrification Cure,Usefull for perfect brew; Silence Cure,Usefull for perfect brew; Curse Cure
Pandemonium Shroom,66,0,0,0,0,66:0:0:0:0,1:0:0:0:0,66,72,0.917,FALSE,0,5,0,0,0,-5,Fungus,Common,Dragon Oasis,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Pegasus Mite,96,48,0,0,0,96:48:0:0:0,2:1:0:0:0,144,134,1.075,FALSE,0,0,-5,0,0,-5,Bug,Uncommon,Crystalline Forest,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Phantom Pomme,0,10,30,0,0,0:10:30:0:0,0:1:3:0:0,40,64,0.625,FALSE,0,5,0,0,0,-5,Fruit,Epic,Ocean Coasts,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Phoenix Tear,0,24,24,8,0,0:24:24:8:0,0:3:3:1:0,56,82,0.683,FALSE,0,0,5,0,0,0,Essences,Epic,Crystalline Forest,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Photonic Spore,0,10,0,30,0,0:10:0:30:0,0:1:0:3:0,40,52,0.769,FALSE,0,-5,0,5,0,0,Fungus,Epic,Shadow Steppe,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Pixiedust Diamond,0,4,4,0,0,0:4:4:0:0,0:1:1:0:0,8,14,0.571,FALSE,0,0,0,0,0,0,Gem,Uncommon,Enchanted Forest,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Platinum Slime,42,42,42,42,0,42:42:42:42:0,1:1:1:1:0,168,178,0.944,FALSE,0,0,0,0,0,0,Slime,Rare,Magical Wasteland,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Poison Quartz,64,48,0,32,0,64:48:0:32:0,4:3:0:2:0,144,185,0.778,FALSE,0,0,0,0,0,-5,Gem,Rare,Sulfuric Falls,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Puckberry,18,0,0,0,0,18:0:0:0:0,1:0:0:0:0,18,16,1.125,FALSE,0,0,0,0,0,0,Fruit,Common,Mushroom Mire,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Qilin's Tri-Horn,0,0,24,0,0,0:0:24:0:0,0:0:1:0:0,24,18,1.333,FALSE,0,-5,0,0,0,0,Bone,Common,Mushroom Mire,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Raiju Droppings,0,0,30,10,0,0:0:30:10:0,0:0:3:1:0,40,55,0.727,FALSE,0,0,0,0,0,0,Essences,Uncommon,Storm Plains,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Raven's Shadow,0,10,12,18,0,0:10:12:18:0,0:5:6:9:0,40,52,0.769,FALSE,0,0,0,0,0,0,Essences,Rare,Mushroom Mire,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Reef Radish,0,30,0,0,0,0:30:0:0:0,0:1:0:0:0,30,32,0.938,FALSE,0,-5,0,0,0,5,Plant,Rare,Ocean Coasts,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
River Calamari,8,0,0,0,0,8:0:0:0:0,1:0:0:0:0,8,5,1.600,FALSE,0,0,-5,0,0,0,Fish,Common,Enchanted Forest,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
River-Pixie's Shell,4,4,0,0,0,4:4:0:0:0,1:1:0:0:0,8,11,0.727,FALSE,0,0,0,0,0,0,Mineral,Uncommon,Enchanted Forest,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Rock Salt,24,0,0,0,8,24:0:0:0:8,3:0:0:0:1,32,68,0.471,FALSE,0,5,0,0,5,0,Mineral,Uncommon,Ice Craggs,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Rotfly Adult,0,0,20,0,0,0:0:20:0:0,0:0:1:0:0,20,38,0.526,FALSE,0,5,0,0,0,0,Bug,Uncommon,Ocean Coasts,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Rotfly Cocoon,0,0,12,0,0,0:0:12:0:0,0:0:1:0:0,12,25,0.480,FALSE,0,5,0,0,0,0,Bug,Uncommon,Bone Wastes,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Rotfly Larva,0,0,4,0,0,0:0:4:0:0,0:0:1:0:0,4,10,0.400,FALSE,0,5,0,0,0,0,Bug,Common,Enchanted Forest,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Rotfly Matriarch,0,0,32,0,0,0:0:32:0:0,0:0:1:0:0,32,65,0.492,FALSE,0,5,0,0,0,0,Bug,Common,Sulfuric Falls,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Rotfly Mutant,0,0,44,0,0,0:0:44:0:0,0:0:1:0:0,44,74,0.595,FALSE,0,5,0,0,0,0,Bug,Common,Crater,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Rottermelon,0,0,0,64,0,0:0:0:64:0,0:0:0:1:0,64,68,0.941,FALSE,0,0,0,0,-5,0,Fruit,Common,Sulfuric Falls,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Sack of Composite Slime,0,0,30,0,0,0:0:30:0:0,0:0:1:0:0,30,36,0.833,FALSE,0,0,0,0,0,0,Slime,Common,Shadow Steppe,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Sack of Hive Slime,0,0,18,0,0,0:0:18:0:0,0:0:1:0:0,18,21,0.857,FALSE,0,0,0,0,0,0,Slime,Common,Mushroom Mire,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Sack of Slime,0,0,6,0,0,0:0:6:0:0,0:0:1:0:0,6,7,0.857,TRUE,2,0,0,0,0,0,Slime,Common,Enchanted Forest,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Salamander's Fiery Tongue,0,24,0,0,0,0:24:0:0:0,0:1:0:0:0,24,22,1.091,FALSE,0,0,0,-5,0,0,Flesh,Common,Bone Wastes,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Saltwatermelon,0,0,0,40,0,0:0:0:40:0,0:0:0:1:0,40,44,0.909,FALSE,0,0,0,0,-5,0,Fruit,Uncommon,Ocean Coasts,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Scimitar Crab's Shell,32,32,0,0,0,32:32:0:0:0,1:1:0:0:0,64,76,0.842,FALSE,0,0,0,0,0,0,Mineral,Common,Sulfuric Falls,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Sea Salt,30,0,0,0,10,30:0:0:0:10,3:0:0:0:1,40,55,0.727,FALSE,0,0,0,0,0,0,Mineral,Uncommon,Ocean Coasts,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Selkie Lice,10,20,0,0,0,10:20:0:0:0,1:2:0:0:0,30,50,0.600,FALSE,0,0,5,0,0,0,Bug,Rare,Ocean Coasts,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Sepulcher Widow,0,0,0,0,48,0:0:0:0:48,0:0:0:0:1,48,82,0.585,FALSE,0,0,0,0,5,-5,Bug,Uncommon,Ice Craggs,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Sequined Custard,0,0,32,0,16,0:0:32:0:16,0:0:2:0:1,48,84,0.571,FALSE,0,0,0,0,5,0,Slime,Uncommon,Crystalline Forest,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Serpent's Slippery Tongue,0,8,0,0,0,0:8:0:0:0,0:1:0:0:0,8,6,1.333,FALSE,0,0,0,-5,0,0,Flesh,Common,Enchanted Forest,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Shadowveil Pearl,0,0,0,20,0,0:0:0:20:0,0:0:0:1:0,20,38,0.526,FALSE,0,0,0,0,5,0,Gem,Uncommon,Shadow Steppe,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Shallow Grave Enoki,32,64,64,32,0,32:64:64:32:0,1:2:2:1:0,192,200,0.960,FALSE,0,0,-5,-5,0,0,Fungus,Rare,Crystalline Forest,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Shelled Pudding,32,0,0,32,0,32:0:0:32:0,1:0:0:1:0,64,90,0.711,FALSE,0,0,0,0,0,0,Slime,Common,Sulfuric Falls,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Silver Dollop,24,24,24,24,0,24:24:24:24:0,1:1:1:1:0,96,138,0.696,FALSE,0,0,0,0,0,0,Slime,Epic,Crystalline Forest,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Silver Stag Antler,0,0,64,0,0,0:0:64:0:0,0:0:1:0:0,64,72,0.889,FALSE,0,-5,0,0,0,0,Bone,Common,Ice Craggs,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Sinfandel,80,0,80,80,40,80:0:80:80:40,2:0:2:2:1,280,362,0.773,FALSE,0,-5,0,0,0,0,Fruit,Rare,Magical Wasteland,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Slapping Turtle's Shell,20,20,0,0,0,20:20:0:0:0,1:1:0:0:0,40,46,0.870,FALSE,0,0,0,0,0,0,Mineral,Common,Storm Plains,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Slaughtermelon,0,0,0,76,0,0:0:0:76:0,0:0:0:1:0,76,105,0.724,FALSE,0,0,0,0,-5,0,Fruit,Common,Crater,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Snowflake Spore,0,66,0,22,0,0:66:0:22:0,0:3:0:1:0,88,105,0.838,FALSE,0,-5,0,5,0,0,Fungus,Common,Arctic,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Sorcerite,70,70,0,28,0,70:70:0:28:0,5:5:0:2:0,168,232,0.724,FALSE,0,-5,0,0,5,0,Mineral,Rare,Magical Wasteland,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Space Nautilus's Shell,44,44,0,0,0,44:44:0:0:0,1:1:0:0:0,88,102,0.863,FALSE,0,0,0,0,0,0,Mineral,Common,Crater,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Spark of Mana,33,33,33,33,33,33:33:33:33:33,1:1:1:1:1,165,215,0.767,FALSE,0,0,0,0,0,0,Pure Mana,Epic,Crater,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Sphinx Flea,12,6,0,0,0,12:6:0:0:0,2:1:0:0:0,18,35,0.514,FALSE,0,0,5,0,0,0,Bug,Rare,Bone Wastes,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Spider's-Bait Diamond,0,20,20,0,0,0:20:20:0:0,0:1:1:0:0,40,50,0.800,FALSE,0,0,0,0,0,0,Gem,Uncommon,Shadow Steppe,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Spriggan Antler,0,0,40,0,0,0:0:40:0:0,0:0:1:0:0,40,38,1.053,FALSE,0,-5,0,0,0,0,Bone,Uncommon,Storm Plains,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Squid Vine,20,20,15,0,15,20:20:15:0:15,4:4:3:0:3,70,135,0.519,FALSE,0,0,0,0,0,0,Plant,Rare,Ocean Coasts,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Stalking Mold,22,0,0,0,66,22:0:0:0:66,1:0:0:0:3,88,123,0.715,FALSE,0,0,0,0,0,0,Fungus,Uncommon,Crater,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Stalking Skeleton's Fibula,0,0,40,40,16,0:0:40:40:16,0:0:5:5:2,96,150,0.640,FALSE,0,0,0,0,0,0,Bone,Uncommon,Ice Craggs,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Static Spiderling,0,0,0,0,30,0:0:0:0:30,0:0:0:0:1,30,50,0.600,FALSE,0,0,0,0,-5,5,Bug,Rare,Storm Plains,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Supernalite,48,32,0,16,0,48:32:0:16:0,3:2:0:1:0,96,134,0.716,FALSE,0,-5,0,0,5,0,Mineral,Rare,Ice Craggs,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Swamp Fish,12,0,0,6,0,12:0:0:6:0,2:0:0:1:0,18,22,0.818,FALSE,0,0,0,0,0,0,Fish,Common,Mushroom Mire,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Swamp Octopus,24,0,0,0,0,24:0:0:0:0,1:0:0:0:0,24,18,1.333,FALSE,0,0,-5,0,0,0,Fish,Common,Mushroom Mire,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Thunder Quartz,30,10,20,0,0,30:10:20:0:0,3:1:2:0:0,60,72,0.833,FALSE,0,0,0,0,0,0,Gem,Uncommon,Storm Plains,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Thunderbird's Molted Feather,0,0,30,0,10,0:0:30:0:10,0:0:3:0:1,40,60,0.667,FALSE,0,0,0,0,0,0,Flesh,Rare,Storm Plains,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Trollstool Mushroom,0,12,0,0,0,0:12:0:0:0,0:1:0:0:0,12,20,0.600,FALSE,0,0,5,0,0,0,Fungus,Common,Mushroom Mire,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Underworld Pomegranate,28,28,28,140,0,28:28:28:140:0,1:1:1:5:0,224,332,0.675,FALSE,0,5,0,0,-5,0,Fruit,Epic,Magical Wasteland,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Unicorn Horn,0,0,8,0,0,0:0:8:0:0,0:0:1:0:0,8,6,1.333,FALSE,0,-5,0,0,0,0,Bone,Common,Enchanted Forest,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Venous Witch-Trap,28,0,70,0,70,28:0:70:0:70,2:0:5:0:5,168,214,0.785,FALSE,0,0,0,0,0,0,Plant,Uncommon,Magical Wasteland,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Warg Pheromones,12,0,12,0,0,12:0:12:0:0,1:0:1:0:0,24,26,0.923,FALSE,0,0,0,0,0,0,Essences,Uncommon,Mushroom Mire,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
Watchdog Daisy,0,16,0,48,0,0:16:0:48:0,0:1:0:3:0,64,83,0.771,FALSE,0,0,0,0,0,0,Flower,Common,Ice Craggs,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Weeping Metal Ore,0,32,64,0,0,0:32:64:0:0,0:1:2:0:0,96,66,1.455,FALSE,0,0,-5,0,0,0,Ores,Common,Sulfuric Falls,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Yeti Antler,0,0,88,0,0,0:0:88:0:0,0:0:1:0:0,88,104,0.846,FALSE,0,-5,0,0,0,0,Bone,Common,Arctic,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
Widowmaker Pepper,0,44,0,44,0,0:44:0:44:0,0:1:0:1:0,88,126,0.698,FALSE,0,0,0,0,0,0,Plant,Common,Dragon Oasis,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Winged Gelatin,0,0,0,66,0,0:0:0:66:0,0:0:0:1:0,66,103,0.641,FALSE,0,0,5,-5,0,0,Slime,Uncommon,Arctic,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Witchbramble Vine,42,42,42,0,42,42:42:42:0:42,1:1:1:0:1,168,210,0.800,FALSE,0,0,0,0,0,0,Plant,Rare,Magical Wasteland,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Wraith Orchid,0,0,0,12,0,0:0:0:12:0,0:0:0:1:0,12,19,0.632,FALSE,0,0,0,0,0,0,Flower,Common,Mushroom Mire,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Xeno Noir,66,0,66,33,33,66:0:66:33:33,2:0:2:1:1,198,236,0.839,FALSE,0,-5,0,0,0,0,Fruit,Rare,Crater,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Xenoplasm,0,55,55,22,0,0:55:55:22:0,0:5:5:2:0,132,166,0.795,FALSE,0,0,0,0,-5,5,Essences,Rare,Crater,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE